County_State_Key,County,State,Population_2023,Median_HH_Income_2023,Store_Count
Atkinson|Georgia,Atkinson,Georgia,8261.0,38438.0,0
Bacon|Georgia,Bacon,Georgia,11129.0,50310.0,0
Baker|Georgia,Baker,Georgia,2830.0,44405.0,0
Baldwin|Georgia,Baldwin,Georgia,43669.0,55413.0,0
Banks|Georgia,Banks,Georgia,18757.0,68830.0,0
Barrow|Georgia,Barrow,Georgia,86982.0,77477.0,1
Bartow|Georgia,Bartow,Georgia,111153.0,79431.0,0
Ben Hill|Georgia,Ben Hill,Georgia,17138.0,39081.0,0
Berrien|Georgia,Berrien,Georgia,18257.0,50414.0,0
Bibb|Georgia,Bibb,Georgia,156543.0,50747.0,0
Bleckley|Georgia,Bleckley,Georgia,12414.0,53005.0,0
Brantley|Georgia,Brantley,Georgia,18171.0,47801.0,0
Brooks|Georgia,Brooks,Georgia,16285.0,47656.0,0
Bryan|Georgia,Bryan,Georgia,46681.0,94234.0,0
Bulloch|Georgia,Bulloch,Georgia,81372.0,56832.0,0
Burke|Georgia,Burke,Georgia,24427.0,50739.0,0
Butts|Georgia,Butts,Georgia,26074.0,59221.0,0
Calhoun|Georgia,Calhoun,Georgia,5528.0,55714.0,0
Camden|Georgia,Camden,Georgia,56036.0,72399.0,0
Candler|Georgia,Candler,Georgia,10972.0,50431.0,0
Carroll|Georgia,Carroll,Georgia,122187.0,72327.0,0
Catoosa|Georgia,Catoosa,Georgia,68356.0,72425.0,0
Charlton|Georgia,Charlton,Georgia,12711.0,48534.0,0
Chatham|Georgia,Chatham,Georgia,298143.0,69575.0,2
Chattahoochee|Georgia,Chattahoochee,Georgia,9181.0,59221.0,0
Chattooga|Georgia,Chattooga,Georgia,24975.0,47785.0,0
Cherokee|Georgia,Cherokee,Georgia,274539.0,105442.0,0
Clarke|Georgia,Clarke,Georgia,129267.0,52267.0,1
Clay|Georgia,Clay,Georgia,2853.0,48715.0,0
Clayton|Georgia,Clayton,Georgia,298771.0,58507.0,0
Clinch|Georgia,Clinch,Georgia,6722.0,55549.0,0
Cobb|Georgia,Cobb,Georgia,769152.0,98712.0,0
Coffee|Georgia,Coffee,Georgia,43161.0,50175.0,0
Colquitt|Georgia,Colquitt,Georgia,45907.0,49691.0,0
Columbia|Georgia,Columbia,Georgia,159638.0,96122.0,1
Cook|Georgia,Cook,Georgia,17363.0,50133.0,0
